title,variant,price,imgUrl,link,l1,l2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数
NIIMBOT D110 智能热敏蓝牙标签打印机，无墨打印机，适用于 iOS 和 Android 系统,NIIMBOT D110 智能热敏蓝牙标签打印机，无墨打印机，适用于 iOS 和 Android 系统,86.42,https://cf.shopee.com.br/file/br-11134207-7r98o-m5u6rbkr84n90c,http://shopee.com.br/product/874603044/22598189688,School & Office Equipment,Label Printers,IVCN2026051110213,209603454333,https://detail.1688.com/offer/728914413920.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P1,2026/5/14,22598189688,86.42,高价品，流量翻倍,1
手动模切压痕机 - 40 厘米 Artmaq,手动模切压痕机 - 40 厘米 Artmaq,834.17,https://cf.shopee.com.br/file/br-11134207-7r98o-m90jsywv19fmbd,http://shopee.com.br/product/284780291/18299764645,School & Office Equipment,Pen Knives & Paper Cutters,IVCN2026051110228,179716810416,,P2,2026/5/14,18299764645,834.17,高价品，流量翻倍,1
多功能电动剪刀，可剪裁布料、皮革、纸张和塑料。快速充电，转速400转/分钟。,2个剪刀头,33.28,https://cf.shopee.com.br/file/br-11134207-820m2-mngukrgek1s028,http://shopee.com.br/product/791248992/29444586294,School & Office Equipment,Scissors,IVCN202605120001,330778764855,,P2,2026/5/14,29444586294,33.28,高价品，流量翻倍,2
Niimbot D110 无线蓝牙便携式热敏标签打印机 + 1 卷 REAL 标签,Niimbot D110 无线蓝牙便携式热敏标签打印机 + 1 卷 REAL 标签,87.25,https://cf.shopee.com.br/file/br-11134207-81z1k-mh8g393b5fd328,http://shopee.com.br/product/1412882242/21598022254,School & Office Equipment,Label Printers,IVCN2026051110232,149782081663,,P2,2026/5/14,21598022254,87.25,高价品，流量翻倍,1
透明杜蕾斯型胶带，套装包含 10 卷 500 米长的胶带，适用于礼品包装、封箱，耐用、便宜，可直接用于发货。,透明杜蕾斯型胶带，套装包含 10 卷 500 米长的胶带，适用于礼品包装、封箱，耐用、便宜，可直接用于发货。,65.1,https://cf.shopee.com.br/file/br-11134207-7r98p-lm7nyqr39eln46,http://shopee.com.br/product/687901750/23396930687,School & Office Equipment,Strings & Tapes,IVCN202605120005,129825315142,https://detail.1688.com/offer/569515438640.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P1,2026/5/14,23396930687,65.1,高价品，流量翻倍,1
便携式USB热敏标签打印机，白色，带支架,IMP 9260+500标签+支持,337,https://cf.shopee.com.br/file/sg-11134201-81zvv-mmt9a46nz2tf36,http://shopee.com.br/product/997284961/22894539498,School & Office Equipment,Label Printers,IVCN2026051110240,228803365138,,P2,2026/5/14,22894539498,337,高价品，流量翻倍,3
三合一文件塑封机 - A4/A5/A6，快速加热3分钟，防错位，适用于照片和文件塑封,220V + 100片塑料薄膜,69,https://cf.shopee.com.br/file/br-11134207-820m0-mlt2dllfsw0762,http://shopee.com.br/product/1569804599/58256928198,School & Office Equipment,Others,IVCN2026051110246,209187021058,https://detail.1688.com/offer/905722230787.html?spm=a26352.b28411319/2508.0.0&cosite=-&tracelog=p4p&_p_isad=1&clickid=6053f138a8254eafa7f51b567fb8d044&sessionid=cc2b48d11209b8bae0c35a0769fe8cab,P0,2026/5/14,58256928198,69,高价品，流量翻倍,2
INTER 绉纸遮蔽胶带，3/4 英寸宽，10 码长，50 卷一包。,皱巴巴的，喷涂了 Inter Green 油漆。,23.52,https://cf.shopee.co.th/file/th-11134207-81ztg-mezlbu64qpl635,http://shopee.co.th/product/71389382/1927054017,School & Office Equipment,Strings & Tapes,IVCN2026051110248,301694016260,https://detail.1688.com/offer/787271028347.html?spm=a26352.13672862.offerlist.1.46753544wqR50x&cosite=-&tracelog=p4p&_p_isad=1&clickid=83366f40625f49028c6238c95a6ec895&sessionid=e4b7e296d34887e001d4f063ae3936c1,P1,2026/5/14,1927054017,23.52,高价品，流量翻倍,2
便携式USB热敏标签打印机，白色，带支架,打印机 + 500 张标签 + 支架,300,https://cf.shopee.com.br/file/sg-11134201-82611-mj4wxczhnpxifa,http://shopee.com.br/product/997284961/22894539498,School & Office Equipment,Label Printers,IVCN2026051110240,189616421611,"https://detail.1688.com/offer/739140311287.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0bf89a7417719038044464340e0ee0&token=sqGHGzqoUCUztAepjD%2FIWUwz6XSDjVcP07%2B6OUCSUW6tVHa%2F4PM301uiJSbvcx3Q,https://detail.1688.com/offer/669438994342.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0",P0,2026/5/14,22894539498,300,高价品，流量翻倍,3
Faber-Castell EcoPencils 超软彩色铅笔，24色,Faber-Castell EcoPencils 超软彩色铅笔，24色,4.66,https://cf.shopee.com.br/file/br-11134207-81ztc-mj42wch5wmpt15,http://shopee.com.br/product/877407541/22892660071,Art Supplies,Color Pencils,IVCN2026051110266,169394117049,https://detail.1688.com/offer/867555509680.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2106f2f117476436361761299e17ef&token=e%2BgIdP0ULiqELfCCDNv%2FOZhBz%2B6qgWKaHRLidk%2FM0NEHu0SzhfUSIXGYlc423n1R,P1,2026/5/14,22892660071,4.66,高价品，流量翻倍,1
裁切机 - 裁切纸 绘图仪 + 覆膜机 + 偏振光,白色的,1569.23,https://cf.shopee.com.br/file/br-11134207-7r98o-m1tyhso5zteyc0,http://shopee.com.br/product/346931325/22298800490,School & Office Equipment,Pen Knives & Paper Cutters,IVCN2026051110278,209177791781,,P2,2026/5/14,22298800490,1569.23,高价品，流量翻倍,2
10卷装透明胶带，500米宽，包装用 - 进口,10卷装透明胶带，500米宽，包装用 - 进口,42.91,https://cf.shopee.com.br/file/br-11134207-7r98o-lqvymd71evy36b,http://shopee.com.br/product/885984605/22192816584,School & Office Equipment,Strings & Tapes,IVCN2026051110288,189159868193,https://detail.1688.com/offer/569515438640.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P1,2026/5/14,22192816584,42.91,高价品，流量翻倍,1
ZCCO 裁纸刀，400 张（4 厘米）容量，钢制铡刀刀片，带可调节尺，适用于皮革/织物，安全可靠 – 24 小时发货,所以,763.93,https://cf.shopee.com.br/file/sg-11134201-824i3-mfp60a256ya7ee,http://shopee.com.br/product/1558330058/22399022478,School & Office Equipment,Pen Knives & Paper Cutters,IVCN2026051110306,179721303553,,P2,2026/5/14,22399022478,763.93,高价品，流量翻倍,1
